,dataset,algorithm,time_ms,instance
457,control,BT,0.019074,instancias/control/n_9-i_1.in
458,control,BT-F,0.003691,instancias/control/n_9-i_1.in
459,control,BT-O-G,0.05817,instancias/control/n_9-i_1.in
460,control,BT-O-C,0.010874,instancias/control/n_9-i_1.in
461,control,DP,0.02859,instancias/control/n_9-i_1.in
462,control,FB,496.314,instancias/control/n_24-i_0.in
463,control,BT,3.52797,instancias/control/n_24-i_0.in
464,control,BT-F,2.28727,instancias/control/n_24-i_0.in
465,control,BT-O-G,846.135,instancias/control/n_24-i_0.in
466,control,BT-O-C,101.442,instancias/control/n_24-i_0.in
467,control,DP,0.357381,instancias/control/n_24-i_0.in
468,grupos,BT,0.100274,instancias/grupos/n_14-grupos_13-i_2.in
